词库,词库名,分类,关卡,网格大小,难度,单词数,最小长度,最大长度,平均长度,单词列表,有特殊字符,错误
cet4,大学四级,考试,1,6,easy,2,3,4,3.5,AIM|LIMB,否,否
cet4,大学四级,考试,2,6,easy,3,3,4,3.7,PEER|POP|BORE,否,否
cet4,大学四级,考试,3,6,easy,3,3,4,3.7,SNAP|HUNT|PER,否,否
cet4,大学四级,考试,4,6,medium,4,4,5,4.2,LACK|BASE|BOAT|STACK,否,否
cet4,大学四级,考试,5,6,medium,3,4,5,4.3,LORD|ITEM|BLEED,否,否
cet4,大学四级,考试,6,6,medium,3,3,5,4.0,MOAN|ROYAL|AIR,否,否
cet4,大学四级,考试,7,6,hard,4,5,5,5.0,SCORE|STARE|MATCH|DEPTH,否,否
cet4,大学四级,考试,8,6,hard,4,5,5,5.0,GROAN|RURAL|AWAIT|BASIS,否,否
cet4,大学四级,考试,9,6,hard,3,5,5,5.0,FORTY|HONOR|SHEET,否,否
cet4,大学四级,考试,10,7,easy,3,4,4,4.0,LENS|LAKE|AUNT,否,否
cet4,大学四级,考试,11,7,easy,4,3,4,3.8,IRON|BANG|BULL|LOG,否,否
cet4,大学四级,考试,12,7,easy,4,4,4,4.0,MILL|IDLE|NEAT|LACE,否,否
cet4,大学四级,考试,13,7,easy,4,3,4,3.5,HEEL|HIS|POST|TAG,否,否
cet4,大学四级,考试,14,7,easy,3,3,4,3.3,GOD|BAR|DEAR,否,否
cet4,大学四级,考试,15,7,easy,4,2,4,3.5,FACE|FOOL|AD|JOKE,否,否
cet4,大学四级,考试,16,7,medium,3,5,6,5.3,BASIC|STRING|SPARK,否,否
cet4,大学四级,考试,17,7,medium,4,3,5,4.2,CANOE|CALL|FLOOD|LID,否,否
cet4,大学四级,考试,18,7,medium,5,3,6,4.4,FAULTY|DAIRY|FEW|LODGE|DOG,否,否
cet4,大学四级,考试,19,7,medium,4,3,6,4.8,REGRET|GLOVE|BLOCK|PET,否,否
cet4,大学四级,考试,20,7,medium,4,3,5,4.0,PLAN|LATE|LOW|COVER,否,否
cet4,大学四级,考试,21,7,medium,3,4,5,4.7,ALONG|OVAL|COACH,否,否
cet4,大学四级,考试,22,7,hard,3,5,6,5.3,BEAST|STICKY|GUILT,否,否
cet4,大学四级,考试,23,7,hard,5,5,6,5.4,BEAUTY|THEME|AGREE|GRAPE|KETTLE,否,否
cet4,大学四级,考试,24,7,hard,4,5,6,5.2,NEARLY|BLAME|ALLOY|FLAME,否,否
cet4,大学四级,考试,25,7,hard,4,5,5,5.0,STEEL|SMART|LAUGH|TOTAL,否,否
cet4,大学四级,考试,26,7,hard,4,5,6,5.8,PEOPLE|LENGTH|PANIC|MENTAL,否,否
cet4,大学四级,考试,27,7,hard,4,5,6,5.5,SERIES|REALM|GRADE|FORMER,否,否
